"id","snapshot_month_end","asset_type_code","total_invested","current_value","total_returns","return_percentage","calculation_method","created_at"
12141,"2025-06-30","MF","1540000.00","1332157.28","-207842.72","-13.50","NAV","2026-01-02 01:45:54.998826"
12140,"2025-05-31","MF","1510000.00","1262549.68","-247450.32","-16.39","NAV","2026-01-02 01:45:54.956027"
12139,"2025-04-30","MF","1480000.00","1217286.11","-262713.89","-17.75","NAV","2026-01-02 01:45:54.911143"
12138,"2025-03-31","MF","1450000.00","1157212.31","-292787.69","-20.19","NAV","2026-01-02 01:45:54.847002"
12137,"2025-02-28","MF","1420000.00","1081445.75","-338554.25","-23.84","NAV","2026-01-02 01:45:54.794896"
12136,"2025-01-31","MF","1390000.00","1139879.81","-250120.19","-17.99","NAV","2026-01-02 01:45:54.742861"
12135,"2024-12-31","MF","1360000.00","1162944.96","-197055.04","-14.49","NAV","2026-01-02 01:45:54.6768"
12134,"2024-11-30","MF","1330000.00","1148444.86","-181555.14","-13.65","NAV","2026-01-02 01:45:54.595895"
12133,"2024-10-31","MF","1300000.00","1111306.30","-188693.70","-14.51","NAV","2026-01-02 01:45:54.512539"
12132,"2024-09-30","MF","1270000.00","1159543.52","-110456.48","-8.70","NAV","2026-01-02 01:45:54.449276"
12131,"2024-08-31","MF","1240000.00","1102768.14","-137231.86","-11.07","NAV","2026-01-02 01:45:54.396417"
12130,"2024-07-31","MF","1210000.00","1046776.25","-163223.75","-13.49","NAV","2026-01-02 01:45:54.335203"
12129,"2024-06-30","MF","1180000.00","983031.79","-196968.21","-16.69","NAV","2026-01-02 01:45:54.251904"
12128,"2024-05-31","MF","1150000.00","886167.56","-263832.44","-22.94","NAV","2026-01-02 01:45:54.182985"
12127,"2024-04-30","MF","1120000.00","861086.38","-258913.62","-23.12","NAV","2026-01-02 01:45:54.106784"
12126,"2024-03-31","MF","1090000.00","826135.40","-263864.60","-24.21","NAV","2026-01-02 01:45:54.019884"
12125,"2024-02-29","MF","1060000.00","799583.82","-260416.18","-24.57","NAV","2026-01-02 01:45:53.942723"
12124,"2024-01-31","MF","1030000.00","777297.39","-252702.61","-24.53","NAV","2026-01-02 01:45:53.868192"
12123,"2023-12-31","MF","1000000.00","780221.98","-219778.02","-21.98","NAV","2026-01-02 01:45:53.797377"
12122,"2023-11-30","MF","970000.00","719264.34","-250735.66","-25.85","NAV","2026-01-02 01:45:53.719518"
12121,"2023-10-31","MF","940000.00","658533.76","-281466.24","-29.94","NAV","2026-01-02 01:45:53.635098"
12120,"2023-09-30","MF","910000.00","660422.99","-249577.01","-27.43","NAV","2026-01-02 01:45:53.341593"
12119,"2023-08-31","MF","880000.00","635760.93","-244239.07","-27.75","NAV","2026-01-02 01:45:53.179961"
12118,"2023-07-31","MF","850000.00","611164.41","-238835.59","-28.10","NAV","2026-01-02 01:45:53.007811"
12117,"2023-06-30","MF","820000.00","582172.98","-237827.02","-29.00","NAV","2026-01-02 01:45:52.820404"
12116,"2023-05-31","MF","790000.00","538107.45","-251892.55","-31.89","NAV","2026-01-02 01:45:52.601426"
12115,"2023-04-30","MF","760000.00","491041.99","-268958.01","-35.39","NAV","2026-01-02 01:45:52.382645"
12114,"2023-03-31","MF","730000.00","455587.00","-274413.00","-37.59","NAV","2026-01-02 01:45:52.217522"
12113,"2023-02-28","MF","700000.00","441610.25","-258389.75","-36.91","NAV","2026-01-02 01:45:52.069152"
12112,"2023-01-31","MF","670000.00","425581.48","-244418.52","-36.48","NAV","2026-01-02 01:45:51.910082"
12111,"2022-12-31","MF","640000.00","418053.14","-221946.86","-34.68","NAV","2026-01-02 01:45:51.750295"
12110,"2022-11-30","MF","610000.00","415383.30","-194616.70","-31.90","NAV","2026-01-02 01:45:51.591587"
12109,"2022-10-31","MF","580000.00","393839.97","-186160.03","-32.10","NAV","2026-01-02 01:45:51.439798"
12108,"2022-09-30","MF","550000.00","369975.10","-180024.90","-32.73","NAV","2026-01-02 01:45:51.288903"
12107,"2022-08-31","MF","520000.00","368030.25","-151969.75","-29.22","NAV","2026-01-02 01:45:51.162636"
12106,"2022-07-31","MF","490000.00","336422.44","-153577.56","-31.34","NAV","2026-01-02 01:45:51.022975"
12105,"2022-06-30","MF","460000.00","284450.71","-175549.29","-38.16","NAV","2026-01-02 01:45:50.873317"
12104,"2022-05-31","MF","430000.00","278768.72","-151231.28","-35.17","NAV","2026-01-02 01:45:50.729432"
12103,"2022-04-30","MF","400000.00","274105.71","-125894.29","-31.47","NAV","2026-01-02 01:45:50.584108"
12102,"2022-03-31","MF","370000.00","260151.06","-109848.94","-29.69","NAV","2026-01-02 01:45:50.430152"
12101,"2022-02-28","MF","340000.00","234474.14","-105525.86","-31.04","NAV","2026-01-02 01:45:50.275959"
12100,"2022-01-31","MF","310000.00","225737.60","-84262.40","-27.18","NAV","2026-01-02 01:45:50.091788"
12099,"2021-12-31","MF","280000.00","219090.05","-60909.95","-21.75","NAV","2026-01-02 01:45:49.930075"
12098,"2021-11-30","MF","250000.00","194641.38","-55358.62","-22.14","NAV","2026-01-02 01:45:49.715839"
12097,"2021-10-31","MF","220000.00","176568.51","-43431.49","-19.74","NAV","2026-01-02 01:45:49.46131"
12096,"2021-09-30","MF","190000.00","157205.93","-32794.07","-17.26","NAV","2026-01-02 01:45:49.252541"
12095,"2021-08-31","MF","160000.00","134659.31","-25340.69","-15.84","NAV","2026-01-02 01:45:48.988191"
12094,"2021-07-31","MF","130000.00","109381.69","-20618.31","-15.86","NAV","2026-01-02 01:45:48.838957"
12093,"2021-06-30","MF","100000.00","85061.03","-14938.97","-14.94","NAV","2026-01-02 01:45:48.661187"
12092,"2021-05-31","MF","70000.00","62025.50","-7974.50","-11.39","NAV","2026-01-02 01:45:48.487983"
12091,"2021-04-30","MF","40000.00","38003.82","-1996.18","-4.99","NAV","2026-01-02 01:45:48.39062"
12090,"2021-03-31","MF","10000.00","7077.00","-2923.00","-29.23","NAV","2026-01-02 01:45:48.290271"
12089,"2021-02-28","MF","10000.00","6878.84","-3121.16","-31.21","NAV","2026-01-02 01:45:48.202887"
