"sr_no","transaction_scheme_name","txn_count","correct_scheme_code","notes"
"112","Axis Multi Asset Allocation Fund Reg (G)","3","",""
"113","SBI Gold Fund Reg (G)","3","",""
"114","Canara Robeco Manufacturing Fund Reg (G)","3","",""
"115","Aditya Birla SL Nifty India Defence Index Fund Reg (G)","3","",""
"116","Mahindra Manulife Balanced Advantage Fund Reg (G)","3","",""
"117","ICICI Pru Liquid Fund (G)","3","",""
"118","PGIM India Global Equity Opportunities FoF (G)","3","",""
"119","Bandhan Multi Asset Allocation Fund Reg (G)","3","",""
"120","Edelweiss Flexi Cap Fund Reg (G)","3","",""
"121","Tata Multicap Fund Reg (G)","3","",""
"122","WhiteOak Capital Arbitrage Fund Reg (G)","3","",""
"123","Kotak Savings Fund (G)","2","",""
"124","SBI Savings Fund Reg (G)","2","",""
"125","Canara Robeco Equity Hybrid Fund Reg (G)","2","",""
"126","Tata Ultra Short Term Fund (G)","2","",""
"127","HDFC Ultra Short Term Fund Reg (G)","2","",""
"128","ICICI Pru Debt Management Fund (G)","2","",""
"129","ICICI Pru Banking and PSU Debt Fund Reg (G)","2","",""
"130","Helios Financial Services Fund Reg (G)","2","",""
"131","Axis Money Market Fund (G)","2","",""
"132","Axis Dynamic Bond Fund (G)","2","",""
"133","PGIM India Ultra Short Duration Fund (G)","2","",""
"134","SBI Equity Savings Fund Reg (G)","2","",""
"135","SBI Consumption Opportunities Fund (G)","2","",""
"136","ICICI Pru Nifty Pharma Index Fund Reg (G)","2","",""
"137","UTI Arbitrage Fund (G)","2","",""
"138","Edelweiss Multi Cap Fund Reg (G)","2","",""
"139","Quant Dynamic Asset Allocation Fund Reg (G)","2","",""
"140","PGIM India Liquid Fund (G)","2","",""
"141","ICICI Pru Bharat Consumption Fund (G)","2","",""
"142","ICICI Pru Money Market Fund Reg (G)","2","",""
"143","WhiteOak Capital Ultra Short Duration Fund (G)","2","",""
"144","Axis Arbitrage Fund (G)","2","",""
"145","ICICI Pru Short Term Fund (G)","2","",""
"146","Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund Reg (G)","2","",""
"147","Canara Robeco Value Fund Reg (G)","1","",""
"148","Tata Business Cycle Fund Reg (G)","1","",""
"149","ICICI Pru Manufacturing Fund Reg (G)","1","",""
"150","Canara Robeco Large Cap Fund (G)","1","",""
"151","DSP Gold E T F Fund of Fund Reg (G)","1","",""
"152","Bandhan Business Cycle Fund Reg (G)","1","",""
"153","WhiteOak Capital Banking & Financial Services Fund Reg (G)","1","",""
"154","Axis Overnight Fund (G)","1","",""
"155","Union Balanced Advantage Fund (G)","1","",""
"156","Kotak Arbitrage Fund (G)","1","",""
"157","ICICI Pru Passive Multi Asset Fund OF Fund (G)","1","",""
"158","Union MidCap Fund Reg (G)","1","",""
"159","PGIM India Large and Mid Cap Fund Reg (G)","1","",""
"160","Mahindra Manulife Ultra Short Duration Fund Reg (G)","1","",""
"161","Bandhan Arbitrage Fund Reg (G)","1","",""
"162","JM Aggressive Hybrid Fund (G)","1","",""
"163","Helios Mid Cap Fund Reg (G)","1","",""
"164","Union Multi Asset Allocation Fund Reg (G)","1","",""
"165","HDFC Mid Cap Fund (G)","1","",""
"166","Nippon India Gold Savings Fund (G)","1","",""
"167","HDFC Multi Asset Fund (G)","1","",""
"168","Axis Liquid Fund (G)","1","",""
"169","Old Bridge Focused Fund Reg (G)","1","",""
